i,time_mean,time_std,length_mean,length_std
1,0.00137145,0.000452655,1028.62,9.39449
2,0.00156548,0.000650898,1007.22,8.59675
3,0.00132231,0.000207413,645.715,5.54826
4,0.00145255,0.000548131,718.677,5.9771
5,0.00161792,0.000560623,826.016,4.58967
6,0.00109338,0.000426044,326.604,4.02957
7,0.00428216,0.00120844,1204.84,19.572
8,0.00095119,0.000402516,191.811,2.06013
9,0.00267554,0.0016183,1781.95,27.5071
10,0.00110128,0.000406244,283.091,1.69418
11,0.000828779,0.000498044,117.217,1.39767
12,0.00106072,0.000435979,259.012,1.13239
13,0.00185284,0.000970172,772.959,7.63877
14,0.000828659,0.000601025,191.943,0
15,0.000923872,0.000468905,196.563,0.705295
16,0.00190009,0.000868849,750.374,175.249
17,0.00130325,0.000183304,360.237,3.38577
18,0.000927862,0.000441722,98.4063,0.212583
19,0.00208254,0.000912771,1031.92,22.1845
20,0.00331808,0.00171289,1117.94,13.7427
21,0.00132057,0.000368151,702.545,2.01652
22,0.00283448,0.00108826,1582.43,13.7138
23,0.00113739,0.000298748,398.944,7.0737
24,0.00233847,0.00126032,892.599,15.2413
25,0.00280195,0.00109384,948.343,9.99111
26,0.00339967,0.00129696,811.546,14.0636
27,0.00218762,0.000921868,1307.72,24.0437
28,0.00212252,0.000815829,1099.31,19.1653
29,0.00128892,0.000312898,617.618,3.34491
30,0.00152898,0.000621828,793.166,5.01099
31,0.00141122,0.000520142,336.329,1.62868
32,0.00151639,0.00053454,965.015,10.6115
33,0.00186885,0.000837448,742.734,3.23837
34,0.00108875,0.000330807,250.265,2.59766
35,0.001766,0.000773329,1061,13.6703
36,0.00138286,0.000361213,607.137,4.11358
37,0.00144456,0.000378416,534.892,8.25777
38,0.00216049,0.00115456,1123.82,9.71279
39,0.00197885,0.000987078,933.715,13.3747
40,0.000940245,0.000450121,167.672,2.84217e-13
41,0.000937514,0.000429336,52.2015,2.13163e-14
42,0.00141853,0.000582826,871.502,20.774
43,0.00611778,0.00198034,1982.55,52.9151
44,0.00229009,0.00117967,1452.3,19.3448
45,0.00220612,0.000888987,1441.99,10.0444
46,0.00136435,0.000327202,449.523,2.85199
47,0.00243429,0.00106086,1157.38,20.8466
48,0.00289437,0.00133742,1324.99,27.865
49,0.00132762,0.000333131,437.92,3.35077
50,0.00203239,0.00095055,1027.17,15.9364
51,0.00377467,0.00179035,1023.34,22.2919
52,0.000947867,0.000467256,187.369,10.3096
53,0.00148863,0.000651371,464.165,2.77592
54,0.00184998,0.000929298,834.34,8.25359
55,0.00271583,0.00110058,1060.77,21.5848
56,0.00134007,0.00023897,1009.54,8.74578
57,0.00133383,0.000312578,695.478,7.45809
58,0.00136232,0.000322939,727.674,6.30484
59,0.000946771,0.000497732,199.927,0.483589
60,0.00512778,0.00161408,1616.26,29.9374
61,0.00395038,0.00145463,2011.7,34.4147
62,0.00234757,0.00119525,737.896,7.6479
63,0.00134655,0.000216069,651.071,10.87
64,0.0046705,0.00155508,1644.74,46.7482
65,0.00242849,0.000977438,1511.2,22.0605
66,0.00391766,0.00164155,1292.25,43.5117
67,0.00156732,0.000693043,455.867,2.29933
68,0.00345056,0.00127856,1436.78,27.3826
69,0.000974732,0.000444271,32.3883,1.42109e-14
70,0.00261155,0.00138479,1245.57,13.4732
71,0.00126072,0.0002691,506.853,2.89336
72,0.00288376,0.00117935,1340.37,24.7391
73,0.00110864,0.000293641,449.344,1.41466
74,0.00233309,0.00108698,1409.25,13.6473
75,0.00104155,0.000410787,275.839,0.57841
76,0.00151426,0.000517396,1534.22,11.9607
77,0.000999568,0.000384527,220.684,1.67125
78,0.00155758,0.000622669,866.819,11.6167
79,0.00122276,0.000279885,283.948,0.884782
80,0.00215936,0.0011151,556.016,3.71472
81,0.00090135,0.000557085,103.823,0.887283
82,0.00086137,0.000469735,196.036,0.534376
83,0.00116768,0.000458324,410.926,1.96566
84,0.00164619,0.000767208,667.935,3.77358
85,0.0013133,0.000369066,663.004,5.55539
86,0.00228719,0.0011247,913.172,10.2235
87,0.00088431,0.000466047,235.396,0.836065
88,0.000843839,0.000479202,66.7083,1.42109e-13
89,0.00285452,0.00119011,785.786,15.9307
90,0.00211403,0.00106625,1347.91,13.1662
91,0.00202951,0.00084628,567.454,5.61299
92,0.000795576,0.00052971,144.456,1.03166
93,0.00191259,0.000793666,1327.63,19.5046
94,0.00159834,0.000709576,533.436,6.67444
95,0.00162523,0.000635469,483.103,6.29002
96,0.00214766,0.000955909,764.436,15.3672
97,0.00241435,0.00112341,1248.14,4.90243
98,0.0063265,0.00157075,2234.93,74.9493
99,0.00103386,0.000495726,327.787,0.435852
100,0.00140274,0.000465944,953.374,74.5007
