coverage,time_mean,time_std,length_mean,length_std
67,0.0064409,0.00478696,1575.58,144.975
68,0.00197636,0.00125212,1605.01,52.0463
20,0.00109118,0.00014519,1473.5,43.6885
67,0.00273389,0.00154079,1837.42,16.2904
55,0.00257078,0.00438888,1719.83,59.0677
61,0.0012265,0.000246294,1706.45,84.6562
64,0.00288689,0.00198844,1560.29,50.7173
39,0.00113041,6.06054e-05,1521.46,76.2096
60,0.00223343,0.00142438,1618.54,25.4729
53,0.00161008,0.000707708,1628.6,76.7826
39,0.00119313,0.000333282,1503.68,62.021
30,0.00110327,1.78796e-05,1479.8,38.3531
68,0.00846579,0.00691805,1835.25,77.3776
54,0.00134028,0.000420768,1496.28,60.6313
22,0.00109637,0.00018409,1407.53,15.7473
57,0.0013652,0.000482251,1660.44,92.7006
69,0.005158,0.00470316,1771.7,54.5079
24,0.00116229,0.000202316,1425.61,34.4003
32,0.0010978,0.000260174,1491.97,49.4741
69,0.0051555,0.00459193,1570.16,12.1744
51,0.00118385,0.000138403,1584.4,9.91248
34,0.00118864,0.000131341,1641.22,74.8735
40,0.00113279,0.00011739,1478.89,12.8772
20,0.00111436,3.49671e-05,1494.23,52.7143
67,0.00135999,0.000632511,1636.84,9.51453
66,0.00206135,0.0012493,1704.29,217.113
46,0.00117251,0.000142876,1509.99,7.3017
58,0.00159254,0.00057907,1612.78,167.395
34,0.00148783,0.00100773,1675.38,66.1795
58,0.00315924,0.0028654,1784.75,2.75215
42,0.00132809,9.42116e-05,1565.47,51.8734
63,0.00366762,0.00372506,1569.36,41.7355
59,0.00224178,0.0012993,1706.26,101.965
32,0.00123941,0.000105026,1536.66,53.0269
65,0.00272045,0.00210498,1827.6,50.9756
44,0.00128119,0.000142544,1548.57,135.642
38,0.00120481,7.6955e-05,1460.38,52.5516
46,0.00119036,0.000178172,1511.65,36.2836
61,0.001274,0.000455161,1661.89,110.275
40,0.00110672,1.68191e-05,1435.06,44.7095
25,0.00110387,2.1422e-05,1502.15,31.5517
21,0.00106419,0.000198223,1414.91,3.27168
57,0.0015359,0.000845384,1765.67,12.6784
67,0.00216916,0.00104441,1694.15,40.9918
50,0.00124756,0.000399919,1664.28,64.5187
61,0.00117002,0.00023056,1769.15,15.2654
47,0.00114012,0.000182332,1536.22,25.4511
50,0.00111598,3.93523e-05,1505.85,70.4548
44,0.00112577,0.00024205,1544.27,5.98918
60,0.00138012,0.000521888,1513.13,27.4052
56,0.00147755,0.000511904,1681.93,116.011
56,0.00181131,0.00107422,1712.94,20.5201
30,0.00119598,0.000141975,1465.42,25.6911
37,0.0011357,5.97282e-05,1555.63,5.67607
50,0.00113702,5.78582e-05,1622.69,55.9952
28,0.00112467,0.000159801,1470.64,35.9048
37,0.00112331,0.000112195,1577.95,3.38758
42,0.00120206,0.000303162,1633.61,53.667
20,0.00110623,1.91214e-05,1528.27,16.0545
66,0.00206038,0.00162058,1622.64,73.582
34,0.0011381,5.74291e-05,1497.7,55.0011
54,0.00254868,0.00170304,1737.42,114.52
68,0.00542014,0.00378183,1780.61,64.3671
69,0.00284517,0.00177075,1563.19,32.9995
69,0.00160564,0.000731971,1594.2,137.889
64,0.00261892,0.00212912,1828.86,9.7205
60,0.00186117,0.000714678,1665.69,60.4768
42,0.0011191,0.000156135,1478.12,16.9559
21,0.00104736,0.000261302,1424.18,18.966
50,0.00113442,0.000212206,1640.52,93.1434
61,0.00142648,0.000613317,1728.14,34.0134
60,0.00118777,0.000295861,1453.71,37.9053
24,0.00109614,0.000101326,1488.4,19.7359
63,0.00182786,0.000777735,1615.49,80.5741
43,0.00122294,0.000208001,1527.96,29.5279
57,0.00113748,0.000236163,1616.41,17.9806
34,0.00110132,1.12952e-05,1517.64,50.8378
43,0.00113063,0.000110851,1612.86,4.11424
25,0.00111011,3.27203e-05,1492.99,59.0647
46,0.00119756,0.000325277,1597.51,30.2764
62,0.00347459,0.00246914,1563.38,75.6364
34,0.00116525,0.000129395,1487.01,44.1787
49,0.00363458,0.00403738,1625.97,48.744
34,0.00122748,9.36878e-05,1470.52,23.7333
34,0.0011211,0.000117228,1393.7,11.2915
45,0.00131042,0.000332989,1497.05,93.2391
46,0.00124531,0.000320359,1706.84,85.5422
30,0.00110354,1.84848e-05,1415.93,5.46284
51,0.00125808,0.000379274,1461.72,27.8466
62,0.00132925,0.000461129,1531.08,10.1921
