coverage,time_mean,Jnan,length_mean,Jnan
67,0.00124402,Jnan,1529.9,Jnan
68,0.00132287,Jnan,1583.36,Jnan
20,0.000236437,Jnan,1473.32,Jnan
67,0.00130941,Jnan,1563.4,Jnan
55,0.00350021,Jnan,1711.2,Jnan
61,0.00158922,Jnan,1666.19,Jnan
64,0.00098375,Jnan,1587.33,Jnan
39,0.000280116,Jnan,1561.9,Jnan
60,0.000555755,Jnan,1780.97,Jnan
53,0.00135999,Jnan,1557.34,Jnan
39,0.000612568,Jnan,1588.41,Jnan
30,0.000288885,Jnan,1486.22,Jnan
68,0.00151152,Jnan,1572.08,Jnan
54,0.000639767,Jnan,1305.81,Jnan
22,0.000229338,Jnan,1414.36,Jnan
57,0.000687864,Jnan,1564.87,Jnan
69,0.0012945,Jnan,1854.18,Jnan
24,0.000273423,Jnan,1427.9,Jnan
32,0.000349149,Jnan,1534.29,Jnan
69,0.000868565,Jnan,1666.2,Jnan
51,0.00122623,Jnan,1487.04,Jnan
34,0.000604879,Jnan,1649.58,Jnan
40,0.000589522,Jnan,1497.15,Jnan
20,0.0002372,Jnan,1476.99,Jnan
67,0.00141171,Jnan,1657.6,Jnan
66,0.0056468,Jnan,1772.28,Jnan
46,0.000534556,Jnan,1643.81,Jnan
58,0.000476191,Jnan,1571.38,Jnan
34,0.00066439,Jnan,1601.18,Jnan
58,0.00340466,Jnan,1785.37,Jnan
42,0.000506589,Jnan,1510.62,Jnan
63,0.00213778,Jnan,1621.48,Jnan
59,0.0011375,Jnan,1633.11,Jnan
32,0.000406744,Jnan,1620.32,Jnan
65,0.00103368,Jnan,1807.63,Jnan
44,0.000783641,Jnan,1571.55,Jnan
38,0.000523744,Jnan,1588.38,Jnan
46,0.00057234,Jnan,1611.12,Jnan
61,0.00103477,Jnan,1665.09,Jnan
40,0.000333659,Jnan,1505.22,Jnan
25,0.000183223,Jnan,1584.14,Jnan
21,0.000229452,Jnan,1465.29,Jnan
57,0.00482637,Jnan,1715.68,Jnan
67,0.00171656,Jnan,1693.71,Jnan
50,0.0018053,Jnan,1475.63,Jnan
61,0.00164319,Jnan,1581.82,Jnan
47,0.000487512,Jnan,1512.33,Jnan
50,0.000704709,Jnan,1530.94,Jnan
44,0.00017655,Jnan,1477.16,Jnan
60,0.000799974,Jnan,1507.45,Jnan
56,0.000904119,Jnan,1571.84,Jnan
56,0.00226998,Jnan,1730.03,Jnan
30,0.000499517,Jnan,1567.75,Jnan
37,0.000167086,Jnan,1583.07,Jnan
50,0.000677232,Jnan,1889.94,Jnan
28,0.000350796,Jnan,1473.3,Jnan
37,0.00272851,Jnan,1656.77,Jnan
42,0.000880147,Jnan,1531.12,Jnan
20,0.000376791,Jnan,1476.29,Jnan
66,0.000441371,Jnan,1636.48,Jnan
34,0.000479992,Jnan,1526.76,Jnan
54,0.000761143,Jnan,1539.08,Jnan
68,0.00400704,Jnan,1741.73,Jnan
69,0.00231686,Jnan,1577.94,Jnan
69,0.00164626,Jnan,1542.83,Jnan
64,0.00116909,Jnan,1490.85,Jnan
60,0.00197822,Jnan,1733.44,Jnan
42,0.000443276,Jnan,1490.42,Jnan
21,0.000235819,Jnan,1452.65,Jnan
50,0.00071371,Jnan,1432.38,Jnan
61,0.000701499,Jnan,1524.82,Jnan
60,0.000314796,Jnan,1464.07,Jnan
24,0.000226591,Jnan,1474.78,Jnan
63,0.00112007,Jnan,1807.99,Jnan
43,0.000739418,Jnan,1546.47,Jnan
57,0.000463042,Jnan,1612.04,Jnan
34,0.000466578,Jnan,1552.47,Jnan
43,0.000759408,Jnan,1762.75,Jnan
25,0.000347471,Jnan,1424.66,Jnan
46,0.000610767,Jnan,1666.17,Jnan
62,0.000667889,Jnan,1639.71,Jnan
34,0.000266471,Jnan,1619.13,Jnan
49,0.000814404,Jnan,1520.61,Jnan
34,0.000488292,Jnan,1465.04,Jnan
34,0.000230969,Jnan,1442.32,Jnan
45,0.000711219,Jnan,1484.54,Jnan
46,0.00148741,Jnan,1606.04,Jnan
30,0.000149998,Jnan,1496.84,Jnan
51,0.000353245,Jnan,1475.54,Jnan
62,0.000704073,Jnan,1548.73,Jnan
