coverage,time_mean,Nan,length_mean,Nan
67,0.00162509,Nan,1554.49,Nan
68,0.00311163,Nan,1614.2,Nan
20,0.000427599,Nan,1471.27,Nan
67,0.00268259,Nan,1687.38,Nan
55,0.0351716,Nan,1806.84,Nan
61,0.00152793,Nan,1660.49,Nan
64,0.00337883,Nan,1602.17,Nan
39,0.00125173,Nan,1567.84,Nan
60,0.00131592,Nan,1545.78,Nan
53,0.00122172,Nan,1580.31,Nan
39,0.00112911,Nan,1601.55,Nan
30,0.000782814,Nan,1553.8,Nan
68,0.00342339,Nan,1799.44,Nan
54,0.00125881,Nan,1317.53,Nan
22,0.000474941,Nan,1503.59,Nan
57,0.00100425,Nan,1566.45,Nan
69,0.00502594,Nan,1899.39,Nan
24,0.000704253,Nan,1492.92,Nan
32,0.000685675,Nan,1532.53,Nan
69,0.00122328,Nan,1623.56,Nan
51,0.000881291,Nan,1554.62,Nan
34,0.00068397,Nan,1564.83,Nan
40,0.000650524,Nan,1555.56,Nan
20,0.00064356,Nan,1492.27,Nan
67,0.00301309,Nan,1626.97,Nan
66,0.00410728,Nan,1804.39,Nan
46,0.00195911,Nan,1555.82,Nan
58,0.000861603,Nan,1547.88,Nan
34,0.000819456,Nan,1591.5,Nan
58,0.0107527,Nan,1805.69,Nan
42,0.00087016,Nan,1567.53,Nan
63,0.0023631,Nan,1819.08,Nan
59,0.00802909,Nan,1703.97,Nan
32,0.000631315,Nan,1523.77,Nan
65,0.00144544,Nan,1690.79,Nan
44,0.00201624,Nan,1606.5,Nan
38,0.000589541,Nan,1514.46,Nan
46,0.000691916,Nan,1607.22,Nan
61,0.00138892,Nan,1589.77,Nan
40,0.00059606,Nan,1458.22,Nan
25,0.000502529,Nan,1526.11,Nan
21,0.000450844,Nan,1457.47,Nan
57,0.00743081,Nan,1857.73,Nan
67,0.00261082,Nan,1739.69,Nan
50,0.00108954,Nan,1582.23,Nan
61,0.00121967,Nan,1651.92,Nan
47,0.0187367,Nan,1594.07,Nan
50,0.00103538,Nan,1540.47,Nan
44,0.000612494,Nan,1527.5,Nan
60,0.00164309,Nan,1520.36,Nan
56,0.00172013,Nan,1579.1,Nan
56,0.00422812,Nan,1741.96,Nan
30,0.000604469,Nan,1546.49,Nan
37,0.0010136,Nan,1532.24,Nan
50,0.000960445,Nan,1621.69,Nan
28,0.000444695,Nan,1458.33,Nan
37,0.00152408,Nan,1672.68,Nan
42,0.00133343,Nan,1598.65,Nan
20,0.000503657,Nan,1503.68,Nan
66,0.00194909,Nan,1643.83,Nan
34,0.000703602,Nan,1562.22,Nan
54,0.00250564,Nan,1556.9,Nan
68,0.00448533,Nan,1760.31,Nan
69,0.0019894,Nan,1624.99,Nan
69,0.00222313,Nan,1653.92,Nan
64,0.00169207,Nan,1579.57,Nan
60,0.00327432,Nan,1699.08,Nan
42,0.000891713,Nan,1503.9,Nan
21,0.000571173,Nan,1439.1,Nan
50,0.000800575,Nan,1492.3,Nan
61,0.000946525,Nan,1547.11,Nan
60,0.000797084,Nan,1566.19,Nan
24,0.00249986,Nan,1529.23,Nan
63,0.00351521,Nan,1720.77,Nan
43,0.00152536,Nan,1522.32,Nan
57,0.00164256,Nan,1644.74,Nan
34,0.000563932,Nan,1522.04,Nan
43,0.000968356,Nan,1607.14,Nan
25,0.000476148,Nan,1481.34,Nan
46,0.00090615,Nan,1590.76,Nan
62,0.00710583,Nan,1672.56,Nan
34,0.000743148,Nan,1513.41,Nan
49,0.00191983,Nan,1582.5,Nan
34,0.000825488,Nan,1506.79,Nan
34,0.000510718,Nan,1479.52,Nan
45,0.00111589,Nan,1533.37,Nan
46,0.00121977,Nan,1601.26,Nan
30,0.000442954,Nan,1449.27,Nan
51,0.00500204,Nan,1544.52,Nan
62,0.00122598,Nan,1571.27,Nan
